LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-8250,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,LI-870,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER
DATE,TIME,T_CASE,PA,T_PA,PUMP_POSITIVE_PRESSURE,PUMP_NEGATIVE_PRESSURE,FLOW,PUMP_TIME,PUMP_SETPOINT,PUMP_CURRENT,SUB_PRESSURE,SUB_FLOW,VSO_FLOW_SETPOINT,VSO_PRESSURE_SETPOINT,PORT1_CURRENT,PORT2_CURRENT,PORT3_CURRENT,PORT4_CURRENT,PORT5_CURRENT,PORT6_CURRENT,PORT7_CURRENT,PORT8_CURRENT,SOL_CURRENT,12VDC_CURRENT,VIN,VOUT,VSO_FLOW,VSO_PRESSURE,5V_VOLTAGE,12V_VOLTAGE,FLOW_PRESSURE,SUB_FLOW_PRESSURE,LATITUDE,LONGITUDE,SATELLITES,ALTITUDE,CO2,CO2_DRY,H2O,T_CELL,PA_CELL,CO2_ABS,H2O_ABS,DEWPOINT,VIN,FLOW,TA,TB,VIN,MOTOR_CURRENT,STATE,DIAG
[YYYYMMDD],[HHMMSS],[C],[kPa],[C],[kPa],[kPa],[L+1M-1],[H],[#],[A],[kPa],[L+1M-1],[#],[#],[A],[A],[A],[A],[A],[A],[A],[A],[A],[A],[V],[V],[V],[V],[V],[V],[kPa],[kPa],[degrees],[degrees],[#],[m],[umol+1mol-1],[umol+1mol-1],[mmol+1mol-1],[C],[kPa],[#],[#],[C],[V],[L+1M-1],[C],[C],[V],[A],[#],[#]
20220125,000046,0,99.9747,21.375,18.5861,-16.009,2.56744,95.0206,255,0.584806,-0.45903,1.62229,95,103,0.0617958,0.0150799,0.0143219,0.0157581,0.0167954,0.0157581,0.00155587,0.000917562,0.253048,0.657054,23.6581,24.3775,4.25217,4.40199,5.02466,12.0653,4.30902,1.99106,39.94039,-5.774879,19,267.5,448.004,450.4671,5.46785,51.5367,99.6764,0.07108063,0.033481,-1.62202,11.3144,0.733356,-0.33,2.12,24.36,0,1,0
20220125,000047,0,99.972,21.375,18.61386,-16.09927,2.568563,95.02062,255,0.5534893,-0.210239,1.613718,95,103,0.1236315,0.01400279,0.0146411,0.01519961,0.01583792,0.01511983,0.001436184,0.001476078,0.2467444,0.6566153,23.64762,24.37752,4.252173,4.40139,5.021347,12.06364,4.311642,1.975344,39.94039,-5.774879,19,267.6,447.621,450.0785,5.46021,51.5334,99.6717,0.07103419,0.0334428,-1.64166,11.29761,0.7310386,-0.33,2.12,24.26,0.28,1,0
20220125,000048,0,99.975,21.375,18.80128,-16.47238,2.569246,95.02062,255,0.5831705,0.4566948,1.614009,95,103,0.1448551,0.01416237,0.01416237,0.01488046,0.01667569,0.01607728,0.00119682,0.00099735,0.2530476,0.6881715,23.62545,24.38497,4.253378,4.402595,5.019279,12.06364,4.307277,1.989311,39.94039,-5.774879,19,267.6,447.756,450.2169,5.46603,51.5367,99.6722,0.07104939,0.03347081,-1.62713,11.30013,0.7334171,-0.33,2.12,24.2,0.24,1,0
20220125,000049,0,99.98025,21.4375,18.56353,-15.98473,2.567375,95.02062,255,0.5772263,-0.453792,1.597736,95,103,0.1750549,0.01500014,0.01504004,0.01607728,0.01519961,0.01655601,0.002074488,0.001436184,0.2499359,0.5320663,23.61962,24.37794,4.254182,4.402194,5.02052,12.0624,4.309896,1.932569,39.94039,-5.774879,19,267.5,447.922,450.3867,5.47245,51.5301,99.6762,0.07107228,0.03350371,-1.61063,11.31943,0.7320708,-0.32,2.12,24.15,0.41,1,0
20220125,000050,0,99.97425,21.375,18.59824,-16.42726,2.56862,95.02062,255,0.5485026,0.4095555,1.594061,95,103,0.1683926,0.01440173,0.01484057,0.01440173,0.01559855,0.01507993,0.00119682,0.001236714,0.250654,0.5298322,23.60328,24.38124,4.253981,4.403198,5.023415,12.06571,4.312515,1.940426,39.94039,-5.774879,19,267.6,447.865,450.3167,5.44445,51.5434,99.6727,0.07106096,0.03336608,-1.68076,11.31188,0.7328693,-0.32,2.12,24.12,0.33,1,0
20220125,000051,0,99.9755,21.375,18.66592,-16.35958,2.567774,95.02062,255,0.5642208,0.3938424,1.617767,95,103,0.1478472,0.01523951,0.01583792,0.01504004,0.01591771,0.01675548,0.001037244,0.001037244,0.2520503,0.6220672,23.60562,24.38331,4.254182,4.402997,5.023415,12.0624,4.307277,1.997168,39.94039,-5.774879,19,267.6,446.787,449.2341,5.44733,51.5434,99.6732,0.07093889,0.03338015,-1.67353,11.31943,0.7329471,-0.32,2.12,24.15,0.36,1,0
20220125,000052,0,99.9705,21.375,18.83773,-16.42031,2.571789,95.02062,255,0.5697262,0.4837562,1.586538,95,103,0.1478073,0.01492036,0.01492036,0.01472089,0.01547887,0.01519961,0.001156926,0.001316502,0.25217,0.5354174,23.60912,24.37835,4.255387,4.403599,5.018038,12.06364,4.314261,1.92384,39.94039,-5.774879,18,267.6,447.041,449.4973,5.46462,51.5334,99.6752,0.07097095,0.03346527,-1.63021,11.30349,0.7330421,-0.32,2.12,24.15,0.35,1,0
20220125,000053,0,99.97625,21.375,18.49065,-16.11662,2.566385,95.02062,255,0.5759497,0.1319574,1.569002,95,103,0.1591372,0.01472089,0.01456131,0.01456131,0.01551877,0.01543898,0.001476078,0.001236714,0.2515716,0.5766678,23.60503,24.38331,4.254985,4.403399,5.022588,12.06075,4.309023,1.875828,39.94039,-5.774879,18,267.6,446.835,449.2894,5.46295,51.54,99.6757,0.07094681,0.0334568,-1.6343,11.29761,0.7335066,-0.32,2.12,24.15,0.33,1,0
